participant,orderIndex,condition,event,unityTime,systemTime,note
1,0,,order,0.000,2026-09-23T21:03:47.128,EllipseVisuoHaptic>EllipseHapticOnly>EllipseHighIntensity>LinearXVisuoHaptic>EllipsePhaseShifted>Blink
1,0,,masking_noise,0.000,2026-09-23T21:03:47.165,center=250.0Hz bandwidth=100.0Hz volume=1.00
1,0,,familiarization_start,4.778,2026-09-23T21:03:53.477,palmY=0.2709 target=(0.3578 0.2409 0.2248) intensity=190
1,0,,familiarization_end,19.783,2026-09-23T21:04:08.471,
1,1,EllipseVisuoHaptic,prepare,26.253,2026-09-23T21:04:14.932,
1,1,EllipseVisuoHaptic,capture_rejected,27.650,2026-09-23T21:04:16.333,palmY=0.1060 first=0.2709
1,1,EllipseVisuoHaptic,start,29.111,2026-09-23T21:04:17.797,palmY=0.2689
1,1,EllipseVisuoHaptic,skipped,49.673,2026-09-23T21:04:38.363,
1,1,EllipseVisuoHaptic,end,49.673,2026-09-23T21:04:38.373,
1,2,EllipseHapticOnly,prepare,50.388,2026-09-23T21:04:39.068,
1,2,EllipseHapticOnly,capture_rejected,51.374,2026-09-23T21:04:40.059,palmY=0.1062 first=0.2709
1,2,EllipseHapticOnly,capture_rejected,52.466,2026-09-23T21:04:41.151,palmY=0.1069 first=0.2709
1,2,EllipseHapticOnly,start,53.411,2026-09-23T21:04:42.095,palmY=0.2608
1,2,EllipseHapticOnly,skipped,59.658,2026-09-23T21:04:48.344,
1,2,EllipseHapticOnly,end,59.658,2026-09-23T21:04:48.354,
1,3,EllipseHighIntensity,prepare,60.580,2026-09-23T21:04:49.260,
1,3,EllipseHighIntensity,start,61.699,2026-09-23T21:04:50.382,palmY=0.2646
1,3,EllipseHighIntensity,skipped,65.257,2026-09-23T21:04:53.945,
1,3,EllipseHighIntensity,end,65.257,2026-09-23T21:04:53.955,
1,4,LinearXVisuoHaptic,prepare,65.789,2026-09-23T21:04:54.469,
1,4,LinearXVisuoHaptic,start,66.835,2026-09-23T21:04:55.515,palmY=0.2656
1,4,LinearXVisuoHaptic,skipped,76.987,2026-09-23T21:05:05.676,
1,4,LinearXVisuoHaptic,end,76.987,2026-09-23T21:05:05.687,
1,5,EllipsePhaseShifted,prepare,77.492,2026-09-23T21:05:06.170,
1,5,EllipsePhaseShifted,capture_rejected,78.693,2026-09-23T21:05:07.376,palmY=0.1060 first=0.2709
1,5,EllipsePhaseShifted,capture_rejected,79.540,2026-09-23T21:05:08.223,palmY=0.1060 first=0.2709
1,5,EllipsePhaseShifted,start,80.459,2026-09-23T21:05:09.141,palmY=0.2674
1,5,EllipsePhaseShifted,skipped,82.083,2026-09-23T21:05:10.774,
1,5,EllipsePhaseShifted,end,82.083,2026-09-23T21:05:10.783,
1,6,Blink,prepare,83.162,2026-09-23T21:05:11.842,
1,6,Blink,start,83.967,2026-09-23T21:05:12.649,palmY=0.2642
