participant,orderIndex,condition,event,unityTime,systemTime,note
1,0,,order,0.000,2026-09-23T21:11:28.741,EllipseVisuoHaptic>EllipseHapticOnly>EllipseHighIntensity>LinearXVisuoHaptic>EllipsePhaseShifted>Blink
1,0,,masking_noise,0.000,2026-09-23T21:11:28.802,center=250.0Hz bandwidth=100.0Hz volume=1.00
1,0,,familiarization_start,8.275,2026-09-23T21:11:38.688,palmY=0.2656 target=(0.3578 0.2356 0.2248) intensity=190
1,0,,familiarization_end,23.283,2026-09-23T21:11:53.691,
1,1,EllipseVisuoHaptic,prepare,24.389,2026-09-23T21:11:54.785,
1,1,EllipseVisuoHaptic,capture_rejected,25.140,2026-09-23T21:11:55.539,palmY=0.1064 first=0.2656
1,1,EllipseVisuoHaptic,capture_rejected,25.986,2026-09-23T21:11:56.386,palmY=0.1062 first=0.2656
1,1,EllipseVisuoHaptic,capture_rejected,26.935,2026-09-23T21:11:57.335,palmY=0.1062 first=0.2656
1,1,EllipseVisuoHaptic,start,28.210,2026-09-23T21:11:58.613,palmY=0.2767
1,1,EllipseVisuoHaptic,skipped,32.609,2026-09-23T21:12:03.015,
1,1,EllipseVisuoHaptic,end,32.609,2026-09-23T21:12:03.026,
1,2,EllipseHapticOnly,prepare,33.590,2026-09-23T21:12:03.985,
1,2,EllipseHapticOnly,start,34.482,2026-09-23T21:12:04.880,palmY=0.2754
1,2,EllipseHapticOnly,skipped,35.515,2026-09-23T21:12:05.920,
1,2,EllipseHapticOnly,end,35.515,2026-09-23T21:12:05.931,
1,3,EllipseHighIntensity,prepare,36.275,2026-09-23T21:12:06.671,
1,3,EllipseHighIntensity,start,37.029,2026-09-23T21:12:07.428,palmY=0.2753
1,3,EllipseHighIntensity,skipped,37.963,2026-09-23T21:12:08.369,
1,3,EllipseHighIntensity,end,37.963,2026-09-23T21:12:08.379,
1,4,LinearXVisuoHaptic,prepare,38.589,2026-09-23T21:12:08.986,
1,4,LinearXVisuoHaptic,start,39.585,2026-09-23T21:12:09.985,palmY=0.2759
1,4,LinearXVisuoHaptic,skipped,55.135,2026-09-23T21:12:25.539,
1,4,LinearXVisuoHaptic,end,55.135,2026-09-23T21:12:25.548,
