participant,orderIndex,condition,event,unityTime,systemTime,note
1,0,,order,0.000,2026-09-23T21:06:00.328,EllipseVisuoHaptic>EllipseHapticOnly>EllipseHighIntensity>LinearXVisuoHaptic>EllipsePhaseShifted>Blink
1,0,,masking_noise,0.000,2026-09-23T21:06:00.381,center=250.0Hz bandwidth=100.0Hz volume=1.00
1,0,,familiarization_start,13.553,2026-09-23T21:06:15.643,palmY=0.2685 target=(0.3578 0.2385 0.2248) intensity=190
1,0,,familiarization_end,28.557,2026-09-23T21:06:30.641,
1,1,EllipseVisuoHaptic,prepare,30.790,2026-09-23T21:06:32.865,
1,1,EllipseVisuoHaptic,capture_rejected,32.481,2026-09-23T21:06:34.558,palmY=0.1065 first=0.2685
1,1,EllipseVisuoHaptic,start,33.822,2026-09-23T21:06:35.902,palmY=0.2767
1,1,EllipseVisuoHaptic,skipped,53.809,2026-09-23T21:06:55.892,
1,1,EllipseVisuoHaptic,end,53.809,2026-09-23T21:06:55.904,
1,2,EllipseHapticOnly,prepare,54.444,2026-09-23T21:06:56.520,
1,2,EllipseHapticOnly,capture_rejected,55.398,2026-09-23T21:06:57.477,palmY=0.1067 first=0.2685
1,2,EllipseHapticOnly,capture_rejected,56.504,2026-09-23T21:06:58.580,palmY=0.1061 first=0.2685
1,2,EllipseHapticOnly,start,57.665,2026-09-23T21:06:59.743,palmY=0.2814
1,2,EllipseHapticOnly,skipped,67.972,2026-09-23T21:07:10.061,
1,2,EllipseHapticOnly,end,67.972,2026-09-23T21:07:10.071,
1,3,EllipseHighIntensity,prepare,68.966,2026-09-23T21:07:11.041,
1,3,EllipseHighIntensity,capture_rejected,70.117,2026-09-23T21:07:12.197,palmY=0.1067 first=0.2685
1,3,EllipseHighIntensity,capture_rejected,70.957,2026-09-23T21:07:13.038,palmY=0.1064 first=0.2685
1,3,EllipseHighIntensity,capture_rejected,72.081,2026-09-23T21:07:14.162,palmY=0.1067 first=0.2685
1,3,EllipseHighIntensity,capture_rejected,73.483,2026-09-23T21:07:15.561,palmY=0.1067 first=0.2685
1,3,EllipseHighIntensity,start,74.476,2026-09-23T21:07:16.555,palmY=0.2894
1,3,EllipseHighIntensity,skipped,75.777,2026-09-23T21:07:17.861,
1,3,EllipseHighIntensity,end,75.777,2026-09-23T21:07:17.870,
1,4,LinearXVisuoHaptic,prepare,76.874,2026-09-23T21:07:18.948,
1,4,LinearXVisuoHaptic,capture_rejected,77.514,2026-09-23T21:07:19.594,palmY=0.1067 first=0.2685
1,4,LinearXVisuoHaptic,capture_rejected,78.645,2026-09-23T21:07:20.723,palmY=0.1075 first=0.2685
1,4,LinearXVisuoHaptic,start,79.511,2026-09-23T21:07:21.592,palmY=0.2915
1,4,LinearXVisuoHaptic,skipped,88.610,2026-09-23T21:07:30.696,
1,4,LinearXVisuoHaptic,end,88.610,2026-09-23T21:07:30.709,
