participant,orderIndex,condition,event,unityTime,systemTime,note
1,0,,order,0.000,2026-09-23T20:39:00.297,EllipseVisuoHaptic>EllipseHapticOnly>EllipseHighIntensity>EllipseVisualOnly>EllipseDelayed>Blink
1,0,,masking_noise,0.000,2026-09-23T20:39:00.342,center=250.0Hz bandwidth=100.0Hz volume=1.00
1,0,,familiarization_start,3.827,2026-09-23T20:39:05.652,palmY=0.2706 target=(0.3578 0.2406 0.2248) intensity=190
1,0,,familiarization_end,18.836,2026-09-23T20:39:20.654,
1,1,EllipseVisuoHaptic,prepare,20.563,2026-09-23T20:39:22.372,
1,1,EllipseVisuoHaptic,start,24.435,2026-09-23T20:39:26.251,palmY=0.1061
